fantasyPlayerId,name,team,position,matchId,rating,minutesPlayed,goals,assists,yellowCard,redCard,cleanSheet,goalsConceded,penaltyWon,penaltyScored,penaltyMissed,penaltyCommitted,penaltySaved,longBalls,totalClearances,blockedShots,interceptions,wonTackles,duelsWon,duelsTotal,wasFouled,passesCompleted,passesTotal,keyPass,dispossessed,offsides,dribblesWon,dribblesTotal,savedShotsInside,savedShotsOutside,runsOut,punches
89007,Cristiano Ronaldo,Portugal,F,15186858,8.5,90,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,5,1,13,19,0,0,2,0,0,0,0,0,0
88540,Manuel Neuer,Germany,G,15186905,6.9,90,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,1,1,0
88989,Lionel Messi,Argentina,F,15186502,9.2,90,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,9,15,4,30,40,2,5,1,3,4,0,0,0,0
88699,Edin Džeko,Bosnia & Herzegovina,F,15186806,6.6,64,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,3,7,2,16,21,0,0,0,0,0,0,0,0,0
88198,Luka Modrić,Croatia,M,15186520,7.4,81,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,4,5,2,69,78,1,0,0,0,0,0,0,0,0
88910,Marko Arnautović,Austria,F,15186502,6.5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0
89170,Ørjan Nyland,Norway,G,15186770,6.7,90,0,0,0,0,0,2,0,0,0,0,0,12,2,0,0,0,0,0,0,20,40,0,0,0,0,0,2,0,0,0
88438,Kristoffer Nordfeldt,Sweden,G,15186957,5.6,90,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,22,34,0,0,0,0,0,1,1,0,0
88028,Fernando Muslera,Uruguay,G,15186800,5.4,90,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,16,22,0,0,0,0,0,0,2,0,0
88626,Johny Placide,Haiti,G,15186856,6.5,90,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,1,1,0,21,32,0,0,0,0,0,2,0,0,0
88217,Ante Budimir,Croatia,F,15186520,7.8,45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,17,2,3,8,0,2,0,1,1,0,0,0,0
88355,Michael Boxall,New Zealand,D,15186827,6.1,90,0,0,0,0,0,3,0,0,0,0,0,2,6,0,0,1,2,5,1,43,49,0,0,0,0,1,0,0,0,0
88218,Ivan Perišić,Croatia,M,15186520,6.9,90,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,1,2,6,0,38,43,1,0,0,0,0,0,0,0,0
88562,Eloy Room,Curaçao,G,15186906,10,90,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,12,30,0,0,0,0,0,10,5,1,0
88365,Chris Wood,New Zealand,F,15186827,6.3,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,20,0,17,26,1,2,3,0,0,0,0,0,0
