fantasyPlayerId,name,team,position,matchId,rating,minutesPlayed,goals,assists,yellowCard,redCard,cleanSheet,goalsConceded,penaltyWon,penaltyScored,penaltyMissed,penaltyCommitted,penaltySaved,longBalls,totalClearances,blockedShots,interceptions,wonTackles,duelsWon,duelsTotal,wasFouled,passesCompleted,passesTotal,keyPass,dispossessed,offsides,dribblesWon,dribblesTotal,savedShotsInside,savedShotsOutside,runsOut,punches
88725,Maxime Crépeau,Canada,G,15186821,6,90,0,0,0,0,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0,14,20,0,0,0,0,0,2,0,3,0
88366,Tim Payne,New Zealand,D,15186822,5.8,64,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,1,3,4,1,19,26,0,0,0,1,1,0,0,0,0
88670,Marquinhos,Brazil,D,15186861,7.4,90,0,0,0,0,1,0,0,0,0,0,0,5,2,1,0,0,0,1,0,84,88,0,0,0,0,0,0,0,0,0
88758,Silvan Widmer,Switzerland,D,15186821,6.1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,6,8,0,0,0,0,0,0,0,0,0
88955,Riyad Mahrez,Algeria,M,15186747,9.1,90,2,0,0,0,0,0,0,0,0,0,0,4,2,0,1,1,5,8,2,47,51,2,0,0,0,1,0,0,0,0
88981,Nicolás Tagliafico,Argentina,D,15186734,6.7,90,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,2,48,54,1,0,0,0,0,0,0,0,0
88992,Emiliano Martínez,Argentina,G,15186734,6.6,90,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0
89098,Santiago Arias,Colombia,D,15186696,7.5,87,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,3,6,0,34,41,5,0,0,0,0,0,0,0,0
88332,Mohamed Salah,Egypt,M,15186828,6.4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,16,23,3,3,0,1,4,0,0,0,0
88252,Éric Davis,Panama,D,15186676,6.7,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,4,0,0,0,0,0,0,0,0,0
88005,Salem Al-Dawsari,Saudi Arabia,M,15186803,6.3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,13,1,12,18,0,1,0,2,4,0,0,0,0
89036,Arthur Masuaku,DR Congo,D,15186717,7,83,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,6,10,2,57,69,2,1,0,0,1,0,0,0,0
88159,Abdülkerim Bardakcı,Türkiye,D,15186887,6.7,90,0,0,0,0,0,2,0,0,0,0,0,4,5,0,1,3,7,9,1,37,47,0,0,0,1,1,0,0,0,0
88112,Jackson Irvine,Australia,M,15186891,6.8,84,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,4,7,1,50,65,0,0,0,0,1,0,0,0,0
