fantasyPlayerId,name,team,position,matchId,rating,minutesPlayed,goals,assists,yellowCard,redCard,cleanSheet,goalsConceded,penaltyWon,penaltyScored,penaltyMissed,penaltyCommitted,penaltySaved,longBalls,totalClearances,blockedShots,interceptions,wonTackles,duelsWon,duelsTotal,wasFouled,passesCompleted,passesTotal,keyPass,dispossessed,offsides,dribblesWon,dribblesTotal,savedShotsInside,savedShotsOutside,runsOut,punches
89007,Cristiano Ronaldo,Portugal,F,15186709,6.1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,19,21,0,0,0,0,0,0,0,0,0
88540,Manuel Neuer,Germany,G,15186899,6.6,90,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,1,1,19,22,0,0,0,0,0,0,1,2,0
88989,Lionel Messi,Argentina,F,15186854,10,80,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,8,1,30,37,2,2,1,0,2,0,0,0,0
88198,Luka Modrić,Croatia,M,15186504,6,58,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,1,27,27,0,0,0,0,0,0,0,0,0
88910,Marko Arnautović,Austria,F,15186751,7.2,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,9,13,1,0,1,0,0,0,0,0,0
89170,Ørjan Nyland,Norway,G,15186773,6.6,90,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,0,0,0,0,25,31,0,0,0,0,0,0,0,1,0
88438,Kristoffer Nordfeldt,Sweden,G,15186951,6.3,90,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,19,28,0,0,0,0,0,0,1,0,0
88028,Fernando Muslera,Uruguay,G,15186811,6.4,90,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,29,30,0,0,0,0,0,2,0,1,0
88626,Johny Placide,Haiti,G,15186853,6.9,90,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,20,31,0,0,0,0,0,1,0,0,0
88355,Michael Boxall,New Zealand,D,15186832,6.6,90,0,0,0,0,0,2,0,0,0,0,0,2,8,0,2,0,3,8,1,50,53,0,1,0,0,0,0,0,0,0
88218,Ivan Perišić,Croatia,M,15186504,6.7,90,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,10,0,25,29,4,0,0,0,1,0,0,0,0
88562,Eloy Room,Curaçao,G,15186899,5,90,0,0,0,0,0,7,0,0,0,0,0,4,3,0,0,0,0,0,0,14,28,0,0,0,0,0,4,0,0,0
88365,Chris Wood,New Zealand,F,15186832,6.5,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,14,17,4,2,0,0,1,0,0,0,0
88040,Ryan Mendes,Cabo Verde,M,15186783,6.9,90,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,7,2,13,18,0,1,2,0,0,0,0,0,0
88913,David Alaba,Austria,D,15186751,7,59,0,0,0,0,0,1,0,0,0,0,0,3,3,1,2,0,3,4,0,55,64,0,0,0,1,1,0,0,0,0
88201,Andrej Kramarić,Croatia,M,15186504,6.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0
88747,Ricardo Rodríguez,Switzerland,D,15186526,7.6,89,0,0,0,0,1,0,0,0,0,0,0,3,2,0,2,0,3,5,0,54,61,2,0,0,0,0,0,0,0,0
88296,Thibaut Courtois,Belgium,G,15186837,6.9,90,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,9,11,0,0,0,0,0,2,0,3,0
88291,Kevin De Bruyne,Belgium,M,15186837,6.5,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,30,37,2,2,0,1,3,0,0,0,0
88563,Leandro Bacuna,Curaçao,M,15186899,6.4,90,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,9,14,2,49,56,1,1,0,1,1,0,0,0,0
