name,short_name,position,team,price,total_score,average_score,owned_percentage,form
Marcel Sabitzer,M. Sabitzer,M,Austria,6.5,4,2,0.8,2
Petar Sučić,P. Sučić,M,Croatia,6,4,2,1.5,2
Ali Jasim,A. Jasim,M,Iraq,4,4,4,0.3,2
Johny Placide,J. Placide,G,Haiti,4.5,4,2,0.3,2
Ritsu Doan,R. Doan,M,Japan,6,4,2,1.2,2
Álvaro Fidalgo,Á. Fidalgo,M,Mexico,5.5,4,4,0.8,2
Joris Kayembe,Kayembe,D,DR Congo,4,4,2,0.2,2
Fredrik Aursnes,F. Aursnes,M,Norway,5,4,2,0.3,2
Kwasi Sibo,K. Sibo,M,Ghana,5,4,2,0.1,2
Che Adams,C. Adams,F,Scotland,5,4,2,0.4,2
Brandon Thomas-Asante,B. Thomas-Asante,F,Ghana,4.5,4,4,0.1,2
Ibrahim Bayesh,I. Bayesh,M,Iraq,4,4,2,0.1,2
Otabek Shukurov,O. Shukurov,M,Uzbekistan,4,4,2,0.1,2
Anis Ben Slimane,A. B. Slimane,M,Tunisia,4.5,4,2,0,2
Hossam Abdelmaguid,H. Abdelmaguid,D,Egypt,4.5,4,4,0,2
Benjamin Tahirović,B. Tahirović,M,Bosnia & Herzegovina,5,4,2,0.1,2
Odeh Fakhoury,O. A. Fakhouri,F,Jordan,4,4,2,0.1,2
Koki Ogawa,K. Ogawa,F,Japan,4.5,4,4,0.2,2
Fabian Rieder,F. Rieder,M,Switzerland,5.5,4,2,0.4,2
Evidence Makgopa,E. Makgopa,F,South Africa,4,4,2,0.2,2
Gabriel Gudmundsson,G. Gudmundsson,D,Sweden,5,4,2,0.1,2
Seung Ho Paik,S. Paik,M,South Korea,5,4,2,0.1,2
Firas Al-Buraikan,F. Al-Buraikan,F,Saudi Arabia,4.5,4,2,0.1,2
José Córdoba,J. Córdoba,D,Panama,4,4,2,0.1,2
Moteb Al-Harbi,M. Al-Harbi,D,Saudi Arabia,4,4,2,0.1,2
Ryan Mendes,R. Mendes,M,Cabo Verde,4.5,4,2,0.1,2
Jürgen Locadia,J. Locadia,F,Curaçao,4,4,2,0.1,2
Thapelo Maseko,T. Maseko,M,South Africa,4,4,4,0.1,2
Lukáš Provod,L. Provod,M,Czechia,5.5,4,2,0.4,2
Abdulla Abdullaev,A. Abdullaev,D,Uzbekistan,4,4,2,0,2
Orlando Mosquera,O. Mosquera,G,Panama,4,4,2,0.1,2
Juan Sanabria,J. Sanabria,M,Uruguay,4.5,4,2,0.1,2
Shahriar Moghanlou,S. Moghanlou,F,Iran,4.5,4,2,0,2
Robin Hranáč,R. Hranáč,D,Czechia,5,4,2,0.1,2
Tyler Bindon,T. Bindon,D,New Zealand,4,4,2,0,2
Mahmoud Al-Mardi,M. Al-Mardi,M,Jordan,4,4,2,0,2
Mohammed Abu Al-Shamat,M. A. Al-Shamat,M,Saudi Arabia,4.5,4,2,0,2
Lukáš Červ,L. Červ,M,Czechia,4.5,4,4,0,2
Ehsan Haddad,E. Haddad,M,Jordan,4.5,4,2,0,2
Mahmud Abunada,M. I. Abunada,G,Qatar,4,4,2,1.2,2
Jaroslav Zelený,J. Zelený,D,Czechia,4,4,2,0.1,2
Michael Boxall,M. Boxall,D,New Zealand,4,4,2,0,2
Luka Modrić,L. Modrić,M,Croatia,7.5,3,1.5,3.5,1.5
Pablo Gavi,Gavi,M,Spain,6.5,3,3,2.1,1.5
João Félix,J. Félix,M,Portugal,7,3,3,1.6,1.5
Désiré Doué,D. Doué,M,France,8,3,1.5,4,1.5
Antoine Semenyo,A. Semenyo,M,Ghana,7,3,1.5,2.2,1.5
Rayan Cherki,R. Cherki,M,France,8,3,1.5,5.3,1.5
Tijjani Reijnders,T. Reijnders,M,Netherlands,7.5,3,1.5,0.7,1.5
Anis Hadj Moussa,A. H. Moussa,F,Algeria,5.5,3,1.5,1.3,1.5
Lamine Camara,L. Camara,M,Senegal,6,3,1.5,1.1,1.5
Nicolás Otamendi,N. Otamendi,D,Argentina,5,3,1.5,2.6,1.5
Can Uzun,C. Uzun,M,Türkiye,6,3,3,1.2,1.5
Ruben Providence,R. Providence,M,Haiti,4,3,1.5,0.2,1.5
Abdul Fatawu Issahaku,A. F. Issahaku,F,Ghana,4.5,3,1.5,0.1,1.5
Alex Baena,A. Baena,M,Spain,6.5,3,3,0.2,1.5
Simon Banza,S. Banza,F,DR Congo,4.5,3,1.5,0.1,1.5
Fernando Muslera,F. Muslera,G,Uruguay,4,3,1.5,2.2,1.5
Kerim Alajbegović,K. Alajbegović,M,Bosnia & Herzegovina,6,3,1.5,1.5,1.5
Ermedin Demirović,E. Demirović,F,Bosnia & Herzegovina,5.5,3,1.5,1,1.5
Ngal'ayel Mukau,N. Mukau,M,DR Congo,4.5,3,1.5,0.1,1.5
Amadou Onana,A. Onana,M,Belgium,6,3,3,1.6,1.5
Samir El Mourabet,S. E. Mourabet,M,Morocco,6,3,1.5,1,1.5
Samuel Moutoussamy,S. Moutoussamy,M,DR Congo,4.5,3,1.5,0.1,1.5
Mario Pašalić,M. Pašalić,M,Croatia,5.5,3,1.5,0.7,1.5
Louicius Don Deedson,L. D. Deedson,F,Haiti,4,3,1.5,0.1,1.5
Rafik Belghali,R. Belghali,D,Algeria,5,3,1.5,0.2,1.5
Promise David,P. David,F,Canada,4.5,3,3,0.2,1.5
Kieran Tierney,K. Tierney,D,Scotland,4.5,3,3,0.4,1.5
Edo Kayembe,E. Kayembe,M,DR Congo,4.5,3,1.5,0,1.5
Zineddine Belaid,Z. Belaid,D,Algeria,4,3,3,0.2,1.5
Denis Zakaria,D. Zakaria,M,Switzerland,5.5,3,3,0.6,1.5
Kevin Rodriguez,K. Rodríguez,F,Ecuador,5,3,1.5,0.1,1.5
Yazan Al-Arab,Y. Al-Arab,D,Jordan,4,3,1.5,0.1,1.5
Ronwen Williams,R. Williams,G,South Africa,5,3,1.5,1.1,1.5
Lawrence Ati Zigi,L. A. Zigi,G,Ghana,4.5,3,3,0.2,1.5
Steve Kapuadi,S. Kapuadi,D,DR Congo,4,3,1.5,0.1,1.5
Isak Hien,I. Hien,D,Sweden,4.5,3,1.5,0.2,1.5
Djibril Sow,D. Sow,M,Switzerland,5.5,3,3,0.4,1.5
Lawrence Shankland,L. Shankland,F,Scotland,4.5,3,3,0.1,1.5
Young-woo Seol,Y. W. Seol,D,South Korea,4.5,3,1.5,0.1,1.5
Elisha Owusu,E. Owusu,M,Ghana,4.5,3,3,0.1,1.5
Michael Gregoritsch,M. Gregoritsch,F,Austria,5,3,3,0.1,1.5
Jovane Cabral,J. Cabral,F,Cabo Verde,4.5,3,3,0.1,1.5
Thalente Mbatha,T. Mbatha,M,South Africa,4,3,1.5,0.1,1.5
Ali Lajami,A. Lajami,D,Saudi Arabia,4,3,1.5,0.1,1.5
Sebastian Berhalter,S. Berhalter,M,USA,5,3,1.5,0.1,1.5
Cristian Volpato,C. Volpato,M,Australia,4.5,3,3,0.1,1.5
Derek Cornelius,D. Cornelius,D,Canada,4.5,3,1.5,0.1,1.5
Akmal Mozgovoy,A. Mozgovoy,M,Uzbekistan,4,3,1.5,0,1.5
Azizjon Ganiev,A. Ganiev,M,Uzbekistan,4,3,3,0,1.5
Shogo Taniguchi,S. Taniguchi,D,Japan,4.5,3,3,0.1,1.5
Jayden Adams,J. Adams,M,South Africa,4,3,1.5,0.1,1.5
Cecilio Waterman,C. Waterman,F,Panama,4,3,1.5,0.2,1.5
Jesper Karlström,J. Karlström,M,Sweden,5,3,1.5,0.1,1.5
Gustaf Lagerbielke,G. Lagerbielke,D,Sweden,5,3,1.5,0.1,1.5
Moise Bombito,M. Bombito,D,Canada,4.5,3,3,0,1.5
Leandro Bacuna,L. Bacuna,M,Curaçao,4,3,1.5,0.1,1.5
Telmo Arcanjo,T. Arcanjo,M,Cabo Verde,4,3,1.5,0,1.5
José Fajardo,J. Fajardo,F,Panama,4,3,1.5,0.1,1.5
Alexander Schlager,A. Schlager,G,Austria,5,3,1.5,0.5,1.5
Gustavo Velázquez,G. Velázquez,D,Paraguay,4,3,1.5,0.1,1.5
Carlos Harvey,C. Harvey,D,Panama,4,3,1.5,0,1.5
Laros Duarte,L. Duarte,M,Cabo Verde,4.5,3,1.5,0,1.5
Callum McCowatt,C. McCowatt,M,New Zealand,4,3,1.5,0,1.5
Azarias Londoño,A. Londoño,M,Panama,4,3,1.5,0,1.5
Max Crocombe,M. Crocombe,G,New Zealand,4,3,1.5,0.1,1.5
Raphinha,Raphinha,M,Brazil,10.5,2,1,8.1,1
Jérémy Doku,J. Doku,M,Belgium,8.5,2,2,4.3,1
