name,short_name,position,team,price,total_score,average_score,owned_percentage,form
Lionel Messi,L. Messi,F,Argentina,10,18,18,19.5,18
Wilfried Singo,W. Singo,D,Côte d'Ivoire,4.5,16,16,1.6,16
Yasin Ayari,Y. Ayari,M,Sweden,5.5,16,16,1.1,16
Luis Díaz,L. Díaz,M,Colombia,8.5,15,15,10.2,15
Nathaniel Brown,N. Brown,D,Germany,5,15,15,1.6,15
Ramin Rezaeian,R. Rezaeian,M,Iran,4.5,15,15,0.2,15
Elijah Just,E. Just,M,New Zealand,4,15,15,0.5,15
Erling Haaland,E. Haaland,F,Norway,10,14,14,11.8,14
Joshua Kimmich,J. Kimmich,D,Germany,7.5,14,14,9.4,14
Hwang In-beom,H. In-beom,M,South Korea,4.5,14,14,0.9,14
Deniz Undav,D. Undav,F,Germany,5.5,14,14,3.2,14
Erik Lira,E. Lira,D,Mexico,4.5,14,14,0.7,14
Harry Kane,H. Kane,F,England,12,13,13,23.2,13
Alexander Isak,A. Isak,F,Sweden,7,13,13,3.2,13
Kai Havertz,K. Havertz,F,Germany,7,13,13,10.3,13
Folarin Balogun,F. Balogun,F,USA,6,13,13,3.6,13
Nico Schlotterbeck,N. Schlotterbeck,D,Germany,7,13,13,3.7,13
Vozinha,Vozinha,G,Cabo Verde,4.5,13,13,1.8,13
Felix Nmecha,F. Nmecha,M,Germany,5.5,13,13,1.6,13
Patrick Beach,P. Beach,G,Australia,4,13,13,0.6,13
Kylian Mbappé,K. Mbappé,F,France,12,12,12,35.1,12
Viktor Gyökeres,V. Gyökeres,F,Sweden,7.5,12,12,5.4,12
Jamal Musiala,J. Musiala,M,Germany,8.5,12,12,3.8,12
João Neves,J. Neves,M,Portugal,8,12,12,5.1,12
Kang-in Lee,K. Lee,M,South Korea,6,12,12,2.2,12
Sead Kolašinac,S. Kolašinac,D,Bosnia & Herzegovina,4.5,12,12,0.6,12
Nikola Katić,N. Katić,D,Bosnia & Herzegovina,4.5,12,12,0.3,12
Vinícius Júnior,Vinícius Jr.,M,Brazil,11,11,11,10.6,11
Virgil van Dijk,V. van Dijk,D,Netherlands,7,11,11,13.8,11
Ryan Gravenberch,R. Gravenberch,M,Netherlands,7,11,11,1.2,11
Julián Quiñones,J. Quiñones,F,Mexico,4.5,11,11,2.5,11
Daniel Muñoz,D. Muñoz,D,Colombia,5.5,11,11,4.2,11
Emmanuel Agbadou,E. Agbadou,D,Côte d'Ivoire,4.5,11,11,0.3,11
Alessandro Circati,A. Circati,D,Australia,5,11,11,0.1,11
Harry Souttar,H. Souttar,D,Australia,4.5,11,11,0.2,11
Paul Okon-Engstler,P. Okon-Engstler,M,Australia,4.5,11,11,0.1,11
Diney Borges,Diney,D,Cabo Verde,4,11,11,0.2,11
Jude Bellingham,J. Bellingham,M,England,8.5,10,10,6.6,10
Amad Diallo,A. Diallo,M,Côte d'Ivoire,6.5,10,10,2.2,10
Emam Ashour,E. Ashour,M,Egypt,5,10,10,1,10
Marcos Llorente,M. Llorente,D,Spain,5.5,10,10,5.2,10
Crysencio Summerville,C. Summerville,M,Netherlands,5.5,10,10,1.4,10
Chris Wood,C. Wood,F,New Zealand,4.5,10,10,1.2,10
John McGinn,J. McGinn,M,Scotland,6,10,10,1.9,10
Keito Nakamura,K. Nakamura,M,Japan,5,10,10,0.9,10
Maximiliano Araújo,M. Araújo,M,Uruguay,5.5,10,10,0.9,10
Ricardo Rodríguez,R. Rodríguez,D,Switzerland,5,10,10,0.4,10
Abdulelah Al-Amri,A. Al-Amri,D,Saudi Arabia,4,10,10,0.3,10
Israel Reyes,I. Reyes,D,Mexico,5,10,10,0.4,10
Livano Comenencia,L. Comenencia,D,Curaçao,4,10,10,0.1,10
Pico,Pico,D,Cabo Verde,4,10,10,0.1,10
Cameron Burgess,C. Burgess,D,Australia,4.5,10,10,0,10
Grant Hanley,G. Hanley,D,Scotland,4.5,10,10,0.1,10
Pedri,Pedri,M,Spain,9,9,9,14.3,9
Michael Olise,M. Olise,M,France,10.5,9,9,25.6,9
Pau Cubarsí,P. Cubarsí,D,Spain,6,9,9,17.8,9
Achraf Hakimi,A. Hakimi,D,Morocco,8,9,9,16.4,9
Marc Cucurella,M. Cucurella,D,Spain,6.5,9,9,11.3,9
Cristian Romero,C. Romero,D,Argentina,5.5,9,9,8.3,9
Ismael Saibari,I. Saibari,M,Morocco,6.5,9,9,1.8,9
Raúl Jiménez,R. Jiménez,F,Mexico,6,9,9,4.1,9
Hannibal Mejbri,H. Mejbri,M,Tunisia,4.5,9,9,0.7,9
Adrien Rabiot,A. Rabiot,M,France,6.5,9,9,1.1,9
Martin Baturina,M. Baturina,M,Croatia,6,9,9,1.7,9
Aymeric Laporte,A. Laporte,D,Spain,5.5,9,9,3.3,9
Daichi Kamada,D. Kamada,M,Japan,5.5,9,9,1,9
Breel Embolo,B. Embolo,F,Switzerland,6,9,9,2.5,9
Caleb Yirenkyi,C. Yirenkyi,M,Ghana,4.5,9,9,0.2,9
Roberto Alvarado,R. Alvarado,M,Mexico,5.5,9,9,0.6,9
Ladislav Krejčí,L. Krejčí,D,Czechia,5.5,9,9,1.7,9
Jonas Adjei Adjetey,J. A. Adjetey,D,Ghana,4.5,9,9,0.1,9
Gideon Mensah,G. Mensah,D,Ghana,4.5,9,9,0.2,9
Jerome Opoku,J. Opoku,D,Ghana,4.5,9,9,0.1,9
Marvin Senaya,M. Senaya,D,Ghana,4,9,9,0.2,9
Alexander Freeman,A. Freeman,D,USA,5,9,9,0.2,9
Aaron Hickey,A. Hickey,D,Scotland,4.5,9,9,0.1,9
Mohammad Mohebi,M. Mohebi,M,Iran,4.5,9,9,0,9
Connor Metcalfe,C. Metcalfe,M,Australia,4.5,9,9,0,9
Jack Hendry,J. Hendry,D,Scotland,4,9,9,0.1,9
Florian Wirtz,F. Wirtz,M,Germany,8.5,8,8,4.2,8
Rodri,Rodri,M,Spain,7.5,8,8,2.6,8
Yoane Wissa,Y. Wissa,F,DR Congo,5.5,8,8,1.4,8
Lisandro Martínez,L. Martínez,D,Argentina,5.5,8,8,5.4,8
Rodrigo De Paul,R. De Paul,M,Argentina,6,8,8,4.9,8
Christian Pulišić,C. Pulišić,M,USA,7.5,8,8,1.8,8
Abbosbek Fayzullaev,A. Fayzullaev,M,Uzbekistan,4,8,8,1.9,8
Yan Diomande,Y. Diomande,M,Côte d'Ivoire,8,8,8,1.7,8
Andy Robertson,A. Robertson,D,Scotland,5,8,8,3.2,8
Guéla Doué,G. Doué,D,Côte d'Ivoire,5,8,8,2.9,8
Ivan Perišić,I. Perišić,M,Croatia,6.5,8,8,1.1,8
Julio Enciso,J. Enciso,M,Paraguay,6,8,8,1.4,8
Elliot Anderson,E. Anderson,M,England,6.5,8,8,1.3,8
Arthur Masuaku,A. Masuaku,D,DR Congo,4.5,8,8,0.2,8
Unai Simón,U. Simón,G,Spain,5.5,8,8,7.5,8
Mauricio,Mauricio,M,Paraguay,4.5,8,8,0.2,8
Facundo Medina,F. Medina,D,Argentina,4.5,8,8,0.4,8
Nestory Irankunda,N. Irankunda,M,Australia,5,8,8,0.2,8
Johan Vásquez,J. Vásquez,D,Mexico,5,8,8,1.6,8
Tarik Muharemović,T. Muharemović,D,Bosnia & Herzegovina,5,8,8,0.9,8
Mathías Olivera,M. Olivera,D,Uruguay,5,8,8,0.4,8
Ghislain Konan,G. Konan,D,Côte d'Ivoire,5,8,8,0.1,8
Leo Østigård,L. Østigård,D,Norway,5,8,8,0.4,8
Jaminton Campaz,J. Campaz,M,Colombia,4.5,8,8,0.1,8
Raúl Rangel,R. Rangel,G,Mexico,4.5,8,8,1.4,8
Romano Schmid,R. Schmid,M,Austria,6,8,8,1,8
Brandon Mechele,B. Mechele,D,Belgium,4.5,8,8,0.1,8
Jesús Gallardo,J. Gallardo,D,Mexico,4.5,8,8,0.3,8
Mohanad Lasheen,M. Lasheen,M,Egypt,5.5,8,8,0.4,8
Angus Gunn,A. Gunn,G,Scotland,4.5,8,8,0.3,8
Noor Al-Rawabdeh,N. Al Rawabdeh,M,Jordan,4,8,8,0.1,8
Mohamed Salah,M. Salah,M,Egypt,8,7,7,2,7
Marcus Rashford,M. Rashford,M,England,7,7,7,2.5,7
Martin Ødegaard,M. Ødegaard,M,Norway,8,7,7,2,7
Declan Rice,D. Rice,M,England,8,7,7,4.4,7
Gabriel Magalhães,G. Magalhães,D,Brazil,7,7,7,11.4,7
Pedro Neto,P. Neto,M,Portugal,7,7,7,0.9,7
Bradley Barcola,B. Barcola,M,France,7,7,7,1.7,7
Manuel Akanji,M. Akanji,D,Switzerland,5.5,7,7,5.1,7
Marko Arnautović,M. Arnautović,F,Austria,5.5,7,7,1.3,7
Hyeon-gyu Oh,H. Oh,F,South Korea,5,7,7,0.6,7
Malik Tillman,M. Tillman,M,USA,5.5,7,7,0.8,7
Giovanni Reyna,G. Reyna,M,USA,5.5,7,7,0.6,7
Benjamin Asare,B. Asare,G,Ghana,4,7,7,0.3,7
Petar Musa,P. Musa,F,Croatia,4.5,7,7,0.3,7
Yahia Fofana,Y. Fofana,G,Côte d'Ivoire,5,7,7,1,7
Jovo Lukić,J. Lukić,F,Bosnia & Herzegovina,4,7,7,0.7,7
Montassar Talbi,M. Talbi,D,Tunisia,4.5,7,7,0.2,7
İsmail Yüksek,İ. Yüksek,M,Türkiye,5.5,7,7,0.5,7
Rubén Vargas,R. Vargas,M,Switzerland,5.5,7,7,0.7,7
Pedro Vite,P. Vite,M,Ecuador,5.5,7,7,0.5,7
Nathan Ngoy,N. Ngoy,D,Belgium,4.5,7,7,0.4,7
Lewis Ferguson,L. Ferguson,M,Scotland,5,7,7,0.2,7
Omar Rekik,O. Rekik,D,Tunisia,4.5,7,7,0.1,7
Ali Olwan,A. Olwan,F,Jordan,4,7,7,0.2,7
David Møller Wolfe,D. M. Wolfe,D,Norway,4.5,7,7,0.2,7
Xaver Schlager,X. Schlager,M,Austria,5.5,7,7,0.5,7
Mohammed Al-Owais,M. Al-Owais,G,Saudi Arabia,4,7,7,0.3,7
Philipp Lienhart,P. Lienhart,D,Austria,5,7,7,0.1,7
Mattias Svanberg,M. Svanberg,M,Sweden,5,7,7,0.1,7
Richie Laryea,R. Laryea,D,Canada,4.5,7,7,0.1,7
Finn Surman,F. Surman,D,New Zealand,4,7,7,0,7
Brahim Díaz,B. Díaz,M,Morocco,7.5,6,6,3.2,6
Thibaut Courtois,T. Courtois,G,Belgium,6.5,6,6,13.3,6
Bono,Bono,G,Morocco,5.5,6,6,11.9,6
Emiliano Martínez,E. Martínez,G,Argentina,5.5,6,6,20.7,6
Noussair Mazraoui,N. Mazraoui,D,Morocco,6,6,6,7.6,6
Marquinhos,Marquinhos,D,Brazil,6.5,6,6,10,6
Noni Madueke,N. Madueke,M,England,6,6,6,1.8,6
Ibrahim Mbaye,I. Mbaye,F,Senegal,4.5,6,6,1.3,6
Hakan Çalhanoğlu,H. Çalhanoğlu,M,Türkiye,8,6,6,0.8,6
Bilal El Khannouss,B. E. Khannouss,M,Morocco,6.5,6,6,0.3,6
Dayot Upamecano,D. Upamecano,D,France,6,6,6,11.4,6
Granit Xhaka,G. Xhaka,M,Switzerland,7,6,6,1.4,6
Renato Veiga,R. Veiga,D,Portugal,5,6,6,0.5,6
Youri Tielemans,Y. Tielemans,M,Belgium,8,6,6,0.5,6
Weston McKennie,W. McKennie,M,USA,6,6,6,2,6
Danley Jean Jacques,D. Jean Jacques,M,Haiti,4,6,6,0.2,6
Sergiño Dest,S. Dest,D,USA,5,6,6,1.6,6
Gregor Kobel,G. Kobel,G,Switzerland,5.5,6,6,4.5,6
Ricardo Adé,R. Adé,D,Haiti,4,6,6,0.4,6
Amir Murillo,A. Murillo,D,Panama,4,6,6,0.4,6
Tahith Chong,T. Chong,M,Curaçao,4,6,6,0.5,6
Gustavo Puerta,G. Puerta,M,Colombia,4.5,6,6,0.2,6
César Montes,C. Montes,D,Mexico,4.5,6,6,0.2,6
Amir Al-Ammari,A. Al-Ammari,M,Iraq,4,6,6,0.1,6
Cyle Larin,C. Larin,F,Canada,5,6,6,0.2,6
Sidny Lopes Cabral,S. L. Cabral,D,Cabo Verde,4,6,6,0.2,6
Stephen Eustaquio,S. Eustaquio,M,Canada,5,6,6,0.1,6
Gabriel Gudmundsson,G. Gudmundsson,D,Sweden,5,6,6,0.1,6
Tim Ream,T. Ream,D,USA,4.5,6,6,0.1,6
Jordan Bos,J. Bos,D,Australia,4.5,6,6,0.1,6
Pedro Miguel,P. Miguel,D,Qatar,4,6,6,0.1,6
Mohannad Abu Taha,M. A. Taha,M,Jordan,4,6,6,0.1,6
Andrés Andrade,A. Andrade,D,Panama,4,6,6,0,6
Lee Tae-seok,T. Lee,D,South Korea,4.5,6,6,0.1,6
Steven Moreira,S. Moreira,D,Cabo Verde,4,6,6,0,6
Gi-Hyuk Lee,G. Lee,D,South Korea,4,6,6,0.3,6
Arda Güler,A. Güler,M,Türkiye,8,5,5,7.1,5
Frenkie de Jong,F. de Jong,M,Netherlands,7.5,5,5,2.3,5
Omar Marmoush,O. Marmoush,F,Egypt,7.5,5,5,2.2,5
Bukayo Saka,B. Saka,M,England,9,5,5,1.9,5
Enzo Fernández,E. Fernández,M,Argentina,8,5,5,2.1,5
Vitinha,Vitinha,M,Portugal,8.5,5,5,14.4,5
Franck Kessié,F. Kessié,M,Côte d'Ivoire,6.5,5,5,0.5,5
Bruno Guimarães,B. Guimarães,M,Brazil,8,5,5,0.9,5
Willian Pacho,W. Pacho,D,Ecuador,6,5,5,19.8,5
Leandro Trossard,L. Trossard,M,Belgium,7,5,5,1.2,5
Ayyoub Bouaddi,A. Bouaddi,M,Morocco,5,5,5,1.9,5
Fabián Ruiz,F. Ruiz,M,Spain,7.5,5,5,1.1,5
Takefusa Kubo,T. Kubo,M,Japan,6.5,5,5,1.5,5
Neil El Aynaoui,N. El Aynaoui,M,Morocco,5,5,5,0.9,5
Aleksandar Pavlović,A. Pavlović,M,Germany,6.5,5,5,1.5,5
Kim Min-jae,K. Min-jae,D,South Korea,5.5,5,5,3.5,5
Charles De Ketelaere,C. De Ketelaere,F,Belgium,6.5,5,5,1,5
Diogo Costa,D. Costa,G,Portugal,5.5,5,5,9.5,5
Davinson Sánchez,D. Sánchez,D,Colombia,5,5,5,1.2,5
Douglas Santos,D. Santos,D,Brazil,5.5,5,5,1.8,5
Petar Sučić,P. Sučić,M,Croatia,6,5,5,1.5,5
